SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Gone Again,,Ronald Meelheim,Sport Fisher,1989,,7/17/2010,2010,7,17,Barnegat Inlet,,,Struck Buoy No 12,Fiberglass,US,32.7,12.2,6.1,16,13,"Waretown, NJ",,Fishing Service,,2,,0,,,,USCG Barnegat Light,Y,Y,Y,#962809; Total loss
Sea Wolf,Miss Moore,Gregory Arlotta,Fishing boat,1963,"Morehead City, NC",12/23/2010,2010,12,23,Cape May S 7 mi,38.82194,-74.98333,,,,,,,,,,,,,,,,,,,,A,Y,Y,#291831; Didn't really sink; Just fell apart
Alexander II,Santa Maria II,Scott Tran,Commercial Fishing vessel,1984,"Chauvin, LA",40027,2009,8,2,Cape May SE 86 mi,38.04944,-73.83595,Attempted Sinking,Steel,US,75,23,10,120,96,"Cape May, NJ","Cape May, NJ",Fishing trip,Manh Nguyen,3,0,0,$250,0,,Cape May  USCG,F,N,Y,#669588; IMO 8856417; Insurance scam; Towed in
Alisha Marie,,Robert Elsey,Scallop boat,2003,,12/23/2009,2009,12,23,Barnegat Light E 26 mi,,,Capsized,Steel,US,38,,,,,"Pt Pleasant, NJ","Pt Pleasant Beach, NJ",Fishing service,Robert Mark Cooper,3,,2,,,,USCG Barnegat Light,Y,Y,N,NJ8965GT
Always Late,,,Sport fishing boat,,,9/19/2009,2009,9,19,Cape May E 55 mi,,,Flooded; Sank,,US,48,,,,,,"Ocean City, MD",Fishing trip,,8,,0,,,,USCG Atlantic City,Y,Y,N,"Rescued by ""Marli""; Kept fishing"
Capt O J Riggs,Captain O J Riggs,"Goose Creek Seafood, Inc",Scallop boat,1982,"Bayou La Batre, AL",7/19/2009,2009,7,19,Barnegat Light E 20 mi,,,Engine fire; sank,Wood,US,79.5,21.2,10.4,104,71,"Emerald Isle, NC","Jones Inlet, NY","Beaufort, NC",,3,,0,,,400 lb scallops,USCG Manasquan,Y,Y,Y,#651462; Crew rescued by AL Milliken
Ellie B,LEB,LNA Inc,Clam fishing boat,1978,,1/17/2009,2009,1,17,Manasquan Inlet,,,Sruck North Jetty,Wood,US,60.5,19.5,7.8,66,57,"Tiverton, RI","Point Pleasant Beach, NJ",Fishing service,John Babbitt,3,,0,,,Clams,,Y,Y,Y,#600541; Broke up on rocks
Lady Mary,,Smith & Smith Inc,Scalloper,1969,,3/24/2009,2009,3,24,Cape May SE 65 mi,,,Flooded due to open hatches,Steel,US,71.2,21.2,12,105,71,"Cape May, NJ","Cape May, NJ",Scallop fishing,Royal Smith Jr,7,,6,,,"18,000 lbs scallops",USCG Atlantic City,Y,Y,Y,IMO #7043207; USCG #520834
Sea Tractor,,,Fishing boat,,,11/11/2009,2009,11,11,Indian River Inlet E 20 mi,,,Lost in storm,,US,44,,,,,,"Cape May, NJ",Fishing service,"Kenneth Rose, Jr",3,,3,,,,,Y,Y,N,
Alexander,Kevin Tran,Scott Tran,Commercial Fishing vessel,1978,"Bayou Le Batre, AL",39575,2008,5,7,Great Egg Inlet SE 33 mi,38.94471,-74.14948,"Flooded, sank",Steel,US,72.1,22,11,113,77,"Cape May, NJ","Cape May, NJ",Fishing trip,,2,0,0,"$250,000",0,,Cape May  USCG,A,Y,N,#590574; IMO 7739301; Total loss
Captain Joe,,,Pleasure boat,,,3/12/2008,2008,3,12,Pt Pleasant Beach E 30 mi,,,Foundered; sank,Steel,US,97,,,,,,,Pt Pleasant Beach,,4,,0,,,,USCG Atlantic City,Y,Y,Y,
Sea Breeze (2008),,Phil Ruhle Sr,Trawler,1979,,7/23/2008,2008,7,23,Atlantic City E 45 mi,,,Capsized; sank,Steel,US,72.1,22.2,11.1,143,99,"Newport, RI","Cape May, NJ","Cape May, NJ",Phil Ruhle Sr,3,,1,,,"100,000 lb illex squid",,Y,Y,N,ON #614564; IMO #7948342
Susan II,,Northstar II Fisheries,Clam boat,,,7/2/2008,2008,7,2,Manasquan Inlet NE 800 yds,,,Flooded in spin,Steel,US,69,,,,,"Gloucester, MA","Manasquan, NJ",Fishing trip,Shawn R Rose,3,,0,,,None,USCG Manasquan,N,N,Y,#259950; Raised and salvaged
Mary James,,James Elliot,Scallop boat,1971,,5/20/2007,2007,5,20,Manasquan Inlet SE 35 mi,,,Lost,,US,40,,,,,,"Pt Pleasant Beach, NJ",Fishing service,Mark Drayton,2,,2,,,,USCG Atlantic City,Y,Y,N,
Next Generation,Elizabeth C II,,Scallop boat,1976,,6/18/2007,2007,6,18,Manasquan River,,,Foundered,Steel,US,54.2,17.4,6.6,43,29,"Cape May, NJ","Pt Pleasant Beach, NJ",Fishing service,,,,,,,,,N,N,Y,#578102; Salvaged
Bow Mariner,Atlas Petros,Odfjell Asia,Oil tanker,1982,Yugoslavia,2/28/2004,2004,2,28,Virginia E 35 mi,37.88000,-74.25500,,,,,,,,,,,,,,,,,,,,F,Y,Y,#7923512
Ranger (2003),,Ruggierio Seafood,Fishing trawler,1982,,2/5/2003,2003,2,5,Atlantic City E 80 mi,,,Sank,Steel,US,106,28,13.7,198,134,"Port Elizabeth, NJ",,,David Lund,7,,0,"$4,000,000",,,,Y,Y,N,#646676; IMO 8320274
Tamara Alane,Wendy Lynn,Clyde A Potter,Scallop boat,1964,,12/24/2003,2003,12,24,Cape May E 30 mi,,,Fire,Wood,US,65.1,20.3,7.8,69,47,"Lowland, NC",,,,3,,0,,,,USCG Atlantic City,Y,Y,N,"#296351; Crew rescued by USCG ""Ibis"""
Adriatic,,,Fishing trawler,,,1/18/1999,1999,1,18,Beach Haven SE 5 mi,,,Unknown,Steel,US,74,,,,,,"Pt Pleasant, NJ",Clamming service,George Evans,4,,4,,,Clams,USCG Atlantic City,Y,Y,Y,Dredge hose tangled in prop
Beth Dee Bob,,PMD Enterprises,Clam boat,1990,"Beaufort, NC",1/6/1999,1999,1,6,Manasquan Inlet E 15 mi,40.13583,-73.72666,Foundered in storm,Steel,US,84.3,26,7.2,96,65,"Philadelphia, PA","Pt Pleasant, NJ",Fishing,Edward McLaughlin,4,,4,,,Clams,,A,,Y,D960023;
Lady Linda,,,Fishing boat,,,9/3/1993,1993,9,3,Brigantine E 15 mi,,,Flooded,Steel,US,83,,,,,,,,,7,,1,,,,,Y,Y,N,
Lightfoot,,Herbert Clarity,Hinterhoeller 30 Sloop Nonsuch,,"St Catherines, Ontario, CAN",12/11/1993,1993,12,11,Long Island SE 225 mi,,,Sank in storm,Wood,US,30,8.5,4.3,2.2,,"City Island, NY","City Island, NY",Bermuda,Herbert Clarity,2,0,0,"$160,000",,,USCG Air North Carolina,N,Y,Y,Rescued by Shin Kafagawa Maru
Terri Lei,,Nelson R Beideman,Fishing vessel,1966,,4/7/1883,1993,4,7,"Charleston, SC E 135 mi",,,Sunk - Cause unknown,Steel,US,60.3,18.5,8.5,63,43,"Barnegat Light, NJ","Barnegat Light, NJ",Fishing Service,Adam Randall,4,0,4,,,,Charleston,N,Y,N ,#D504283; Part of Barnegat Light fishing fleet
Thomas Hebert,Thomas Herbert,SC Loveland Co,Tug,1975,"Orange, TX",3/7/1993,1993,3,7,Manasquan Inlet SE 35 mi,39.79360,-73.50274,Pulled under by tow line,Steel,US,94,27,7,99,69,"Philadelphia, PA",Newport News. VA,"Portland, ME",William E Landers,7,,5,"$800,000",,8500 ton coal in Loveland 3403,,F,Y,Y,#570117; Towing coal barge
John Marvin,,Bill Gifford,Clam boat,1951,"Camden, NJ",1/16/1992,1992,1,16,Atlantic City E 13 mi,39.36862,-74.16389,Foundered; Sank,Steel,US,140.5,22.7,8.4,227,148,"Atlantic City, NJ","Atlantic City, NJ",Fishing trip,Mikle Mohr,5,,0,"$600,000",,Clams,USCG Atlantic City,Y,Y,N,#262584
Little Gull,,,Fishing boat,1949,,11/03/1992,1992,11,3,Brigantine North End Beach,,,Grounded,Steel,Dom Rep,130.5,22.5,8.5,198,119,"Atlantic City, NJ","Atlantic City, NJ","New York, NY",Joseph Pettingill,10,,0,"$38,000",,None,Atlantic City,Y,Y,Y,IMO L7202968; Lost in transit to NY for refit
Valerie E,,Charles McCullough,Clam boat,1960,"Wildwood, NJ",11/16/1992,1992,11,16,"Fire Island, NY S 3 mi",,,Foundered; sank,Steel,US,71,,,,,,"Belford, NJ","Belford, NJ",Roy Soloman,3,,3,,,,,Y,Y,N,
Mae Doris,,,,,,10/28/1991,1991,10,28,Cape May E 40 mi,,,,Steel,US,,,,,,,,,Bill Kane Jr,4,,4,,,,,,,N,
Persistence,,,Trawler,,,2/12/1991,1991,2,12,Barnegat E 25 mi,,,Flooded ,Wood,US,45,,,,,Barnegat Light. NJ,Barnegat Light. NJ,Barnegat Light. NJ,Richard Geronimo,2,,0,,,,,,,,
Tammy Dee,,Charles McCullough,Clam boat,,,12/12/1989,1989,12,12,Cape May E 5 mi,,,Foundered; sank,,US,67,,,,,,,,John Evans,3,,3,,,,,Y,Y,N,
Barbara Lee,,James Vogel,Fishing boat,1976,"Snug Harbor, RI",10/22/1988,1988,10,22,Barnegat Light SE 68 mi,,,Hit floating object; bilged,Steel,US,51,16,5,41,,"Barnegat Light, NJ","Barnegat Light, NJ",Fishing service,James Vogel,4,,0,"$200,000","$30,000",Swordfish & Tuna,,Y,Y,Y,"Crew resued by ""Lori-L"""
Crusader (1988),,,Tug,,,9/23/1988,1988,9,23,Sandy Hook,,,Sank,,,,,,,,,,,,,,0,,,Barge w/ 13.000 barrels low grade oil,,Y,Y,N,
Emily and Anna,,,Trawler Eastern rig,,,6/24/1988,1988,6,24,Atlantic City E 45 mi,,,Sank,,,65,,,,,"Cape May, NJ",,Fishing service,Rodnet Brown,6,,0,,,,Cape May,Y,Y,N,
Gin,,Alan Davies,Sailboat,,,9/24/1988,1988,9,24,"Ocean City, NJ",,,Stranded; Capsized,,,42,,,,,,,,,2,0,0,,,,USCG Great Egg,N,N,N,Later salvaged
Lloyd's Bermuda,,,Container ship,,,12/28/1988,1988,12,28,New Jersey E 200 mi,,,Cargo shifted; Capsized,,Cypress,254,,,,,,,,,11,,8,,,,,Y,Y,N,Sank 
Miss Eleanor,,,Clamer,,,1/4/1988,1988,1,4,Island Beach State Park,,,Grounded leaking,,,75,,,,,"Atlantic City, NJ",,Fishing service,Russell R Stump,3,,0,,,480 bushell clams,,Y,Y,N,Ship lost; clams recovered
Nighthawk,,,,,,~1988,1988,,,,,,No information,,,,,,,,,,,,,,,,,,,Y,Y,N,Local legend - feud led to sinking
Real Action,Reel Action,,Sport fishing boat,,,9/10/1988,1988,9,10,Atlantic City E 6 mi,,,Struck tow line behind tug,,,29,,,,,,,,Fishing trip,6,,2,,,,USCG Great Egg,Y,Y,N,Total loss
Clare Lorraine,,Richard Moch,Fishing trawler,,,1/13/1987,1987,1,13,Hudson Canyon,,,"Collision w/ ""Torm Venture""",Wood,US,72,,,,,,,Fishing service,Richard Moch,4,,,"$535,000",,,"CG Cutter ""Point Knoll""",Y,Y,N,"Crew rescued by ""Lori Michelle"""
Daddy's Dream,,Arthur Goldstein,Cabin cruiser,,,8/12/1987,1987,8,12,Surf City E 1.5 mi,,,Burned,Fiberglass,US,44,,,,,,,Pleasure cruise,,4,,0,,,,,Y,Y,N,Sank
Delores Marie,,Wanchese Fish Co,Trawler,,,2/23/1987,1987,2,23,Cape May S 60 mi,,,Damaged in storm,,,85,,,,,North Carolina,,Fishing service,Mike Lacy,3,,3,,,"Wood, plastic markers",Cape May Air Station USCG,,,N,
Komsomolets Kirgizii,,,,,,3/14/1987,1987,3,14,NJ Coast E 210 mi,,,Sank in heavy seas,,,482,,,,10292,"Leningrad, Russia","Halifax, NS",Cuba,,37,,0,,,Flour,,Y,Y,N,
Sherry Ann Dale,,,Fishing boat,,,9/17/1987,1987,9,17,Barnegat Light E 100 mi,,,Capsized; sank,,US,65,,,,,,,,Dale Smith,4,,1,,,,,Y,Y,N,"Crew rescued by ""Lori L"""
Candi,,Percival Llewellyn,Ketch,,,11/22/1986,1986,11,22,Island Beach State Park,,,Grounded,,,38,,,,,,"New York, NY",Trinidad,Percival Llewellyn,,,,,,,,N,N,N,Badly damaged
Gaspesienne,,Serge Forest,Schooner - yacht,,,11/20/1986,1986,11,20,"Haven Beach, NJ",,,Grounded,,Canada,45,,,,,,"Quebec, CA",Virginia,,5,,0,,,,,Y,Y,Y,Total loss
Patricia Gale,,William Voliva,Fishing trawler,,,6/1/1976,1986,6,1,Beach Haven E 8.5 mi,,,Collision,Steel,,58,,,,,"Chincoteague, VA",,,William Voliva,3,,0,,,,Cape May,N,N,N,"Steering failed; Rescued by ""Ocean Wave"""
Sarah Conway,,,Clam boat,1872,,3/6/1986,1986,3,6,Beach Haven E 6.5 mi,,,Capsized in storm,Wood,US,77,,,,,,"Atlantic City, NJ",Fishing trip,Tom Slaughter,4,,0,,,,,Y,Y,N,Total loss
Skivvy Waver,,,Yacht motor,,,11/21/1986,1986,11,21,Atlantic City E 100 mi,,,Foundered while in tow,,,49,,,,,,"Montauk, NY",Bermuda,,2,,,"$100,000",,,,Y,Y,N,Sank; Total loss
Vinnie,,,Tug,,,7/14/1986,1986,7,14,Holgate E,,,Sank,Steel,,36,,,,,,"Staten Island, NY","Ocean City, MD",,2,,0,,,,,Y,Y,N,Beach HaveN CG responded
Adrian Maria,,,Trawler,,,6/8/1985,1985,6,8,Hereford Shoal,,,Stranded,,,37,,,,,"Wildwood, NJ",,,,,,,,,,,,,N,Total loss
Artful Dodger,,,Trawler,,,11/3/1985,1985,11,3,Avalon Channel,,,Grounded,,,58,,,,,,,,,,,,,,,,,,N,Stuck on bar w/ no help from USCG
Denise,,,Dive boat,,,9/18/1985,1985,9,18,Barnegat Inlet E 4 mi,,,Thru-hull failure; Leaking badly,,,42,,,,,,,,Donald Kenley,8,,0,,,,Barnegat Light USCG,N,N,N,Towed to High Bar Harbor
Pauline Marie,,,Freighter,,,4/3/1985,1985,4,3,Atlantic City,,,Artificial reef sinking,Steel,,165,,,,,,,,,,,,,,,,Y,Y,N,WW II Vintage ship
Two Brothers (1985),,Richard Ross,Lobster boat,,,~1985,1985,,,Ocean City E 50 mi,,,Sunk ; pump failed,,US,50,,,,,,,,Richard Ross,3,,0,,,,,Y,Y,N,
Uh-oh,,,Sailboat,,,7/2/1985,1985,7,2,Hereford Inlet,,,Grounded/overturned,,,33,,,,,,,,Charles R Smith,4,,0,,,,,Y,Y,N,
Amazing Grace,,Wanchese Fishing Co,Fishing trawler,,,11/15/1984,1984,11,15,"Ocean City, MD E 100 mi",,,Lost at sea,Steel,US,87,,,,,"Hampton, VA",,,Paul Robles,9,,9,"$500,000",,,,Y,Y,N,Pesummed lost
Billy Joe,,James Pearson,Clam boat,,,7/19/1984,1984,7,19,Brigantine E 10 mi,,,Flooded & capsized,,,85,,,,,,,,,4,,0,,,,,Y,Y,N,Sunk; Raised by salvagers
Campbell,WPG-32,U S Coast Guard,Cutter,1936,"Philadelphia, PA",11/29/1984,1984,11,29,Pacific Ocean,,,Sunk as target,Steel,US,327,41,,2350,,,,,E G Rose,125,,0,,,,,Y,Y,Y,Damaged by U-606 on Convoy 2/22/1943
Hi Gail,,,Clam boat,,,2/19/1984,1984,2,19,Cape May County,,,,,,62,,,,,,"Wildwood, NJ",Dredging for clams,Haas,3,,0,,,,,Y,Y,N,"Sunk; Crew rescued by ""Elizabeth C II"""
Olympic Javelin,,Puskas Enterprises,Fishing boat,1973,,4/5/1984,1984,4,5,Barnegat Inlet North Shoal,,,Struck breakwater,Steel,US,71.2,22,10.6,114,78,"Philadelphia, PA",,Fishing service,Lou Puskas,,,,,,Tile fish,,N,N,Y,#552675; IMO #7515767; Refloated
Adventurer,,Adventure Fleet Inc,Charter fishing boat,1959,"Dorchester, NJ",4/16/1983,1983,4,16,Cape May Inlet SE 12 mi,38.76166,-74.71972,,,,,,,,,,,,,,,,,,,,A,Y,N,#282412; Total loss
Beach Haven (1983),,Beach Haven Inc,Fishing trawler,1949,"Camden, NJ",3/20/1983,1983,3,20,Barnegat Shoal,,,Stranded; abandoned,Steel,US,120.4,21.5,8.3,177,101,"Chrisfield, MD","Barnegat Light, NJ",Fishing service,,6,,0,,,,USCG Barnegat Light,N,N,Y,#257543
Boom Boom,,Jim Kallestead,Sailboat,,,9/6/1983,1983,9,6,Cape May E 45 mi,,,Bilged; sank,,,41,,,,,,"Miami, FL",Rhode Island,,2,,1,,,,,Y,Y,N,Total loss
Christine Ann,,Nicholas Hobor Sr,Clam boat,1943,"Dorchester, NJ",1/21/1983,1983,1,21,Atlantic City,,,Sank,Wood,US,61.4,16.8,6.9,41,27,"Philadelphia, PA","Atlantic City, NJ",Fishing service,Nicholas Hobor Jr,3,,3,,,Clams,,Y,Y,N,#273724; Thought to be overloaded
Civonney,,,Freighter,,,3/16/1983,1983,3,16,NJ Coast E 270 mi,,,Burned & sank,Steel,Honduras,154,,,,,Honduras,Honduras,,Antonio Concio,21,,,,,Marijuana,,Y,Y,Y,Smuggling marijuana; Total loss
Diane Karen II,,Paul E Kuchar,Lobster boat,1954,"Severn, VA",11/2/1983,1983,11,2,Manasquan Inlet,,,Struck jetty,Wood,,53.9,18,7.2,42,28,"New York, NY",,,Paul E Kuchar,,,,,,,,Y,Y,N,#531016; Total loss
Gra-Cee III,Eaglet,Louis Puskas Jr,Fishing boat,1970,"Warren, RI",3/12/1983,1983,3,12,Montauk Point S 65 mi,,,Foundered,Steel,US,58.3,17.3,6.8,45,39,"Philadelphia, PA","Barnegat Light, NJ","Barnegat Light, NJ",Louis Puskas Jr,5,,0,"$200,000",,Fish,,Y,Y,N,#527435; Total loss
Hughes 137,,,Barge,,,9/30/1983,1983,9,30,Cape May E 300 mi,,,Adrift,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,,,N,"Cut loose from disabled ""Mars"""
Liberty (1983),,Liberty Fishing Co,Scalloper,,,12/13/1983,1983,12,13,Manasquan Inlet,,,Capsized,Steel,US,87,,,,,,"Cape May, NJ",Fishing service,Robert Hooyman,9,,4,,,Scallops,,Y,Y,Y,
Marine Electric,,Marine Coal Transpot Co,Bulk carrier,1944,"Chester, PA",2/12/1983,1983,2,12,"Ocean City, MD E 4 mi",,,Foundered in gale,,,608.55,75.63,34.14,,,,"Norfolk, VA","Somerset, MA",,34,,31,,,Coal,,Y,Y,Y,Sank
MARS,,,Privateer Brig,,,9/29/1983,1983,9,29,Sandy Hook,,,Grounded by ice,,,,,,,,,,,McGillycudy,,,,,,,,,,N,
Misty Blue,,Misty Dawn Inc,Clam boat,1976,"Ocean Spring, MS",4/11/1983,1983,4,11,Cape May SE 30 mi,,,Sank mysteriously,Steel,US,85,24,11,145,98,"Cape May, NJ","Wildwood, NJ","Wildwood, NJ",James Partin,4,,4,,,Full load clams,,Y,Y,Y,#572742; IMO 7644702; Total loss
Taurus,,,Sport fishing boat,,,12/31/1983,1983,12,31,Schellengers Landing,,,Exploded,,,33,,,,,,,,,,,,,,,,Y,Y,N,Sank at dock
Healer Dealer,,,Fishing boat,,,~ 1982,1982,,,Townsends Inlet E 22 mi,,,Burned,Fiberglass,,48,,,,,,"Atlantic City, NJ",Fishing trip,Leonard D Wallace,1,2,0,"$150,000",,,,Y,Y,N,Sunk
Hercules C-130,,,Airplane,,,10/1/1982,1982,10,1,NJ coast E 180 mi,,,Ran out of fuel; crash landed,,,,,,,,,"Azores, Portugal",,,13,,5,,,,,Y,Y,N,
Hoopla 7,,John Dolton,Lobster boat,,,10/24/1982,1982,10,24,Cape May,,,Missing; presumed lost,,US,38,,,,,"Westbrok, CT","Westbrook, CT","Cape Charles, VA",John Dolton,1,,1,,,,,Y,Y,N,Only a life ring found
Joan La-Rie III,,Charles H Housley,Charter fishing boat,1968,"Waretown, NJ",10/24/1982,1982,10,24,Manasquan E 8.5 mi,40.06833,-73.85166,Capsized from rogue wave,Wood,US,47,13.5,5.7,29,19,"Pt Pleasant, NJ","Pt Pleasant, NJ",Fishing trip,Charles Housley,2,20,8,,,,USCG Manasquan,A,Y,N,"#514848; Sank; Passengers rescued by ""Itape"""
Capricorn,,Joseph Lestz,,,,7/21/1981,1981,7,21,Barnegat Inlet,,,Rammed Jetty,,,32,,,,,,,"Atlantic City, NJ",,10,,0,,,,,Y,Y,N,Sunk; Total loss
Chesapeake (1981),,,Fishing boat,,,7/28/1981,1981,7,28,Barnegat Light E 14 mi,,,Burned,,,101,,,,,,"Cape May, NJ",Fishing service,,4,,0,,,,USCG Barnegat Light,Y,Y,N,"Sank; Crew rescued by ""Debbie Flo"""
Falcon,,,Fishing trawler,1928,,~9/1981,1981,9,,Seabright E 12 mi,,,,,,,,,,,"New York, NY",,,,,,,,"$36,000,000",18 ton hashish,,Y,Y,N,Cargo to be smuggled into US
Phoenix (1981),,Tom Louzon,Lobster boat,,Smart Hook,12/21/1981,1981,12,21,Hudson Canyon,,,Missing; presumed lost,Steel,US,65,,,,,"Belmar, NJ","Belmar, NJ",Fishing in Hudson Canyon,Tom Louzon,3,,3,,,,,Y,Y,N,
Tango,,Aurelia Bolognesi,Yacht,,,12/8/1981,1981,12,8,Cape May E 55 mi,,,Lost in heavy seas,Wood & metal,,44,,,,,,"Atlantic Highlands, NJ","Norfolk, VA",,,4,0,,,,,Y,Y,N ,Sunk
Atlantic Princess,Ealanor Eileen X,Seaford Scallop Co,Scalloper,1980,"St Augustine, FL",12/14/1980,1980,12,14,Barnegat Light NE 45 mi,,,Capsized,Steel,US,68.4,21.2,11.1,121,82,"Seaford, VA","Seaford, VA",Fishing service,Robert L Duda,6,0,4,,,Scallops,,Y,Y,N,#622600; Sank
Michelle S,,Mu-Petco,Barge,,,1/5/1980,1980,1,5,Brigantine Refuge,,,Stranded,,,300,,,,,,"Philadelphia, PA","Bayonne, NJ",,,,,,,"70,000 BBLS fuel oil",,N,N,Y,Refloated
Ocean Endeavour,,,Freighter,,,10/25/1980,1980,10,25,Barnegat N 1.5 mi,,,Stranded in storm,,Panama,233,,,,,Panama,"New York, NY","Jacksonville, FL",Chris Ragondon,14,,0,,,,,N,N,Y,Refloated
Poet,AP-152 Gen Omar Bundy; Portmar; Port,Hawaiian Eugenia Corp,C-4 Troop Carrier,1944,"Richmond, CA",10/24/1980,1980,10,24,Cape Henlopen E,,,Disappeared,Steel,US,522.8,71.5,43.5,11421,7636,"New York, NY","Philadelphia, PA","Port Said, Egypt",Leroy Warren,34,,34,,,"13,500 tons #2 yellow corn",,Y,Y,Y,#294731; Probably sank in gale
William F Farrell,,,Tug to yacht,,,7/29/1980,1980,7,29,Barnegat Inlet E 3 mi,,,Sank,,,,,,,,"Baltimore, MD",,,,6,,0,,,,,,,N,
Brian C,,Triangle Marine Corp,Tug,,"New Orleans, LA",11/13/1979,1979,11,13,Atlantic City SE 20 mi,39.01833,-73.80000,Foundered; broken seam,,US,86,21.8,10.6,136,53,"Boston, MA","Boston, MA","Miami, FL",Kirk Frazier,3,,0,"$125,000",,None,USCG Atlantic City,A,,N,#256928
Independence (1979),,Anthony Hennessey,Fishing boat,1966,"Warren, RI",2/26/1979,1979,2,26,"Surf City, NJ",,,Stranded,Steel,US,60.3,18.5,8.5,63,43,"Philadelphia, PA","Barnegat Light, NJ",Fishing service,Bob Ramsey,3,,0,,,"Tilefish - 17,000 lb",,N,N,Y,#504283; Salvaged
